frequency,name,link
92.5,"MEC Theme from Battlefield 2",https://youtu.be/S0aXAm0jqd0
91.3,"Some Russian Guys Talking on Radio",
91,"Yankee Doodle",https://youtu.be/tIIufQKM2K0
90.8,"Call of Duty: World at War OST - Black Cats",https://youtu.be/qqA46bO4VDI
90.7,"US Theme from Battlefield 2",https://youtu.be/_v4n6srZxDY
90.6,"Goodbye Maria",https://youtu.be/USdl9P35mYI
90.5,"Marine Hymn",https://youtu.be/Qqv6tzeJ9R4
90.4,"The Caissons Go Rolling Along - Henry Mancini",https://youtu.be/WJ0Lgdq23to
90.2,"Steve Everitt - Flower Power (BC2 Vietnam)",https://youtu.be/-SMu2Q-VZbM
90.1,"Anders Lewen - Muscle Soul (BC2 Vietnam)",https://youtu.be/GfU9PM4v8dU
90,"Anders Lewen - Memphis Guitar Soul (BC2 Vietnam)",https://youtu.be/UIC_9X3Vco4
89.9,"Unknown",
89.8,"Unknown",
89.7,"Unknown",
89,"HappySoft - I Love Bejing Tiananmen (Remastered Version)",https://youtu.be/mJmjljQP3oY
88.9,"Unknown",
88.8,"Unknown",
88.7,"Unknown",
88.6,"Unknown",
88.3,"Unknown",
88.2,"The PLA March",https://youtu.be/jiKS6jrx67Q
88,"Night Raid",https://youtu.be/KmhZ3T0bAC4
